"FIPS.Code","County","Year","Program.Type","Population"
36037,"Genesee",2016,"Postcensal Population Estimate",58013
36039,"Greene",2016,"Postcensal Population Estimate",47494
36041,"Hamilton",2016,"Postcensal Population Estimate",4556
36043,"Herkimer",2016,"Postcensal Population Estimate",62436
36045,"Jefferson",2016,"Postcensal Population Estimate",112980
36047,"Kings",2016,"Postcensal Population Estimate",2608423
36049,"Lewis",2016,"Postcensal Population Estimate",26647
36051,"Livingston",2016,"Postcensal Population Estimate",64000
36053,"Madison",2016,"Postcensal Population Estimate",71387
36055,"Monroe",2016,"Postcensal Population Estimate",743770
36057,"Montgomery",2016,"Postcensal Population Estimate",49169
36059,"Nassau",2016,"Postcensal Population Estimate",1355952
36061,"New",2016,"Postcensal Population Estimate",1635443
36063,"Niagara",2016,"Postcensal Population Estimate",211554
36065,"Oneida",2016,"Postcensal Population Estimate",230375
36067,"Onondaga",2016,"Postcensal Population Estimate",464109
36069,"Ontario",2016,"Postcensal Population Estimate",109229
36071,"Orange",2016,"Postcensal Population Estimate",377799
36073,"Orleans",2016,"Postcensal Population Estimate",41247
36075,"Oswego",2016,"Postcensal Population Estimate",118895
36077,"Otsego",2016,"Postcensal Population Estimate",60132
36079,"Putnam",2016,"Postcensal Population Estimate",98761
36081,"Queens",2016,"Postcensal Population Estimate",2306830
36083,"Rensselaer",2016,"Postcensal Population Estimate",159294
36085,"Richmond",2016,"Postcensal Population Estimate",474040
36087,"Rockland",2016,"Postcensal Population Estimate",323258
36089,"St.",2016,"Postcensal Population Estimate",109449
36091,"Saratoga",2016,"Postcensal Population Estimate",227122
36093,"Schenectady",2016,"Postcensal Population Estimate",154475
36095,"Schoharie",2016,"Postcensal Population Estimate",31304
36097,"Schuyler",2016,"Postcensal Population Estimate",17967
36099,"Seneca",2016,"Postcensal Population Estimate",34710
36101,"Steuben",2016,"Postcensal Population Estimate",96958
36103,"Suffolk",2016,"Postcensal Population Estimate",1486406
36105,"Sullivan",2016,"Postcensal Population Estimate",74922
36107,"Tioga",2016,"Postcensal Population Estimate",48824
36109,"Tompkins",2016,"Postcensal Population Estimate",102942
36111,"Ulster",2016,"Postcensal Population Estimate",179042
36113,"Warren",2016,"Postcensal Population Estimate",64438
36115,"Washington",2016,"Postcensal Population Estimate",61795
36117,"Wayne",2016,"Postcensal Population Estimate",90758
36119,"Westchester",2016,"Postcensal Population Estimate",970267
36121,"Wyoming",2016,"Postcensal Population Estimate",40432
36123,"Yates",2016,"Postcensal Population Estimate",25059
36000,"New",2015,"Postcensal Population Estimate",19654666
36001,"Albany",2015,"Postcensal Population Estimate",307433
36003,"Allegany",2015,"Postcensal Population Estimate",47334
36005,"Bronx",2015,"Postcensal Population Estimate",1440005
36007,"Broome",2015,"Postcensal Population Estimate",195928
36009,"Cattaraugus",2015,"Postcensal Population Estimate",77926
36011,"Cayuga",2015,"Postcensal Population Estimate",78298
36013,"Chautauqua",2015,"Postcensal Population Estimate",130529
36015,"Chemung",2015,"Postcensal Population Estimate",86705
36017,"Chenango",2015,"Postcensal Population Estimate",48772
36019,"Clinton",2015,"Postcensal Population Estimate",80718
36021,"Columbia",2015,"Postcensal Population Estimate",61434
36023,"Cortland",2015,"Postcensal Population Estimate",48290
36025,"Delaware",2015,"Postcensal Population Estimate",45891
36027,"Dutchess",2015,"Postcensal Population Estimate",294039
36029,"Erie",2015,"Postcensal Population Estimate",920644
36031,"Essex",2015,"Postcensal Population Estimate",37965
36033,"Franklin",2015,"Postcensal Population Estimate",50540
36035,"Fulton",2015,"Postcensal Population Estimate",53801
36037,"Genesee",2015,"Postcensal Population Estimate",58462
36039,"Greene",2015,"Postcensal Population Estimate",47616
36041,"Hamilton",2015,"Postcensal Population Estimate",4699
36043,"Herkimer",2015,"Postcensal Population Estimate",62652
36045,"Jefferson",2015,"Postcensal Population Estimate",116371
36047,"Kings",2015,"Postcensal Population Estimate",2608794
