"County","Year","Jail.Population","Boarded.Out","Boarded.In","in.House.Census","Sentenced","Civil","Federal","Technical.Parole.Violators","State.Readies","Other.Unsentenced"
"Schuyler",2016,28,5,0,24,8,0,0,1,0,14
"Schuyler",2015,15,2,0,13,6,0,0,1,0,6
"Schuyler",2014,18,2,0,16,7,0,0,2,0,7
"Schuyler",2013,25,3,0,22,11,0,0,1,0,9
"Schuyler",2012,22,5,1,18,8,0,0,1,0,9
"Schuyler",2011,21,2,0,19,10,0,0,1,0,8
"Schuyler",2010,21,2,0,19,8,0,0,1,0,11
"Seneca",2019,60,1,1,60,21,0,15,4,0,19
"Seneca",2018,76,2,2,76,28,1,12,4,1,30
"Seneca",2017,79,0,0,79,24,2,15,5,1,32
"Seneca",2016,74,0,0,74,23,1,16,3,1,30
"Seneca",2015,68,0,0,69,22,1,14,2,1,29
"Seneca",2014,81,0,0,81,27,1,13,3,1,36
"Seneca",2013,82,1,2,83,22,2,15,2,1,41
"Seneca",2012,77,1,3,79,22,1,13,3,1,40
"Seneca",2011,77,0,1,78,23,1,22,2,1,30
"Seneca",2010,82,0,1,83,28,2,19,2,0,31
"Steuben",2019,164,0,0,164,44,0,18,10,3,89
"Steuben",2018,189,1,2,191,50,1,27,8,3,103
"Steuben",2017,208,1,2,209,46,1,32,11,3,117
"Steuben",2016,198,1,1,198,40,1,48,8,2,98
"Steuben",2015,203,1,2,203,40,0,46,9,2,106
"Steuben",2014,178,0,2,180,35,1,36,7,3,98
"Steuben",2013,192,1,1,191,36,0,28,10,3,114
"Steuben",2012,190,1,1,190,39,1,40,9,3,99
"Steuben",2011,176,1,2,178,38,1,48,7,2,82
"Steuben",2010,167,0,2,169,41,0,45,7,1,73
"St.",2019,119,0,2,121,27,1,0,7,2,84
"St.",2018,139,2,0,138,38,1,0,8,2,89
"St.",2017,182,22,1,160,57,1,0,9,1,91
"St.",2016,143,3,2,141,54,1,0,7,2,77
"St.",2015,155,2,2,155,47,1,0,6,2,99
"St.",2014,152,2,4,154,51,0,0,6,3,94
"St.",2013,163,6,2,159,44,0,0,7,2,106
"St.",2012,156,2,3,156,46,0,0,6,2,102
"St.",2011,135,0,4,139,34,0,0,5,2,98
"St.",2010,125,0,8,133,38,0,0,6,2,87
"Suffolk",2019,498,4,12,507,117,3,7,28,12,340
"Suffolk",2018,592,8,17,601,126,7,8,39,13,408
"Suffolk",2017,620,8,14,626,158,4,4,25,13,421
"Suffolk",2016,589,9,7,588,157,5,2,33,21,369
"Suffolk",2015,680,11,6,675,176,12,2,29,16,441
"Suffolk",2014,731,10,7,728,210,21,2,27,11,459
"Suffolk",2013,881,21,7,868,237,8,1,35,16,570
"Suffolk",2012,1070,102,7,975,245,7,4,38,17,664
"Suffolk",2011,1153,157,9,1005,235,7,3,41,32,688
"Suffolk",2010,1098,77,8,1029,239,7,2,45,23,713
"Suffolk",2019,586,0,2,587,160,7,0,28,7,385
"Suffolk",2018,698,0,3,701,193,6,0,34,9,458
"Suffolk",2017,676,0,1,677,187,7,0,38,9,437
"Suffolk",2016,649,0,1,649,172,5,0,48,3,421
"Suffolk",2015,671,0,1,672,180,7,0,40,4,441
"Suffolk",2014,681,0,1,682,173,8,0,37,11,454
"Suffolk",2013,662,0,0,662,192,8,0,37,6,419
"Suffolk",2012,592,0,0,592,188,6,0,37,0,360
"Suffolk",2011,597,0,0,597,184,4,0,38,0,371
"Suffolk",2010,606,0,0,606,185,4,0,39,0,378
"Sullivan",2019,150,6,0,144,33,0,0,16,1,94
"Sullivan",2018,140,5,0,136,28,0,0,20,1,86
"Sullivan",2017,137,2,0,135,34,0,0,21,2,78
"Sullivan",2016,138,1,0,137,32,0,0,21,2,82
"Sullivan",2015,151,6,0,146,28,0,0,13,2,103
"Sullivan",2014,163,6,0,157,31,0,0,12,3,111
"Sullivan",2013,191,21,0,170,34,0,0,12,2,122
"Sullivan",2012,156,1,0,154,36,0,0,10,3,106
"Sullivan",2011,161,3,0,158,40,0,0,10,2,106
"Sullivan",2010,171,9,0,162,37,0,0,10,2,114
"Tioga",2019,56,2,10,63,16,1,7,3,1,36
"Tioga",2018,61,1,5,65,19,1,0,2,1,41
"Tioga",2017,79,3,3,80,27,0,1,2,1,48
"Tioga",2016,77,1,2,78,30,1,8,2,1,36
"Tioga",2015,61,1,12,71,29,1,3,3,1,36
"Tioga",2014,73,1,7,79,27,1,12,3,1,36
"Tioga",2013,86,2,2,86,26,0,15,3,1,41
"Tioga",2012,80,1,6,85,29,1,19,4,1,31
"Tioga",2011,82,0,3,85,31,1,14,5,1,34
"Tioga",2010,79,1,6,84,34,1,18,4,1,26
"Tompkins",2019,61,1,2,62,24,0,0,6,1,30
"Tompkins",2018,72,3,0,69,21,0,0,7,1,40
"Tompkins",2017,76,2,0,74,22,0,0,6,1,45
"Tompkins",2016,80,3,0,76,22,0,0,5,2,47
"Tompkins",2015,92,10,0,82,25,0,0,4,2,51
"Tompkins",2014,87,6,0,81,32,0,0,3,2,43
"Tompkins",2013,91,8,0,83,30,0,0,4,2,46
"Tompkins",2012,90,7,0,83,28,0,0,4,2,48
"Tompkins",2011,86,4,0,82,33,0,0,3,2,44
"Tompkins",2010,82,3,0,79,34,0,0,3,2,41
"Ulster",2019,212,0,5,217,74,2,0,17,7,117
"Ulster",2018,247,0,33,280,90,0,0,19,7,164
"Ulster",2017,271,0,9,280,88,0,0,23,8,161
"Ulster",2016,252,0,9,261,78,0,0,24,8,151
"Ulster",2015,255,0,31,286,78,0,0,21,9,178
"Ulster",2014,303,0,59,362,96,0,0,20,9,236
"Ulster",2013,290,2,52,340,95,0,1,25,10,210
"Ulster",2012,324,1,27,350,99,0,2,22,11,216
"Ulster",2011,301,0,28,329,100,0,3,20,8,197
"Ulster",2010,301,0,31,332,102,0,9,16,6,199
"Warren",2019,105,1,0,104,35,0,5,10,2,52
"Warren",2018,140,0,0,141,41,0,2,8,2,87
"Warren",2017,117,0,1,118,29,1,3,9,2,73
"Warren",2016,124,0,1,125,27,1,9,14,3,71
"Warren",2015,130,0,1,130,33,1,11,7,3,75
"Warren",2014,128,1,3,130,30,1,11,6,3,79
"Warren",2013,128,0,2,130,29,1,8,11,3,79
"Warren",2012,133,0,15,148,41,3,0,10,3,90
"Warren",2011,139,1,14,152,42,2,0,10,3,95
"Warren",2010,129,0,26,154,36,3,0,6,2,107
"Washington",2019,70,0,2,72,26,2,0,11,2,32
"Washington",2018,81,0,0,81,27,1,5,9,2,37
"Washington",2017,87,0,2,89,30,2,1,10,2,44
"Washington",2016,76,0,0,77,22,2,3,7,3,40
"Washington",2015,92,0,0,92,25,1,4,7,2,52
"Washington",2014,105,0,1,106,25,1,6,7,2,64
"Washington",2013,121,1,3,123,30,1,9,13,3,66
"Washington",2012,94,0,15,109,22,2,5,8,2,70
"Washington",2011,85,0,10,95,30,2,4,8,3,49
"Washington",2010,103,0,16,119,29,3,7,9,2,68
"Wayne",2019,68,6,3,65,31,0,0,7,0,26
"Wayne",2018,93,7,11,97,43,0,0,10,0,44
"Wayne",2017,89,4,9,94,41,0,0,10,0,43
"Wayne",2016,98,7,9,100,44,0,4,9,0,41
"Wayne",2015,121,7,5,119,60,0,1,8,0,51
"Wayne",2014,115,8,7,114,53,0,0,5,0,55
"Wayne",2013,109,5,10,114,51,0,2,4,1,56
"Wayne",2012,108,8,14,115,41,0,10,5,3,56
"Wayne",2011,132,6,2,128,50,0,18,10,2,49
"Wayne",2010,129,5,7,132,48,0,16,7,2,58
"Westchester",2019,70,1,0,70,17,0,5,1,0,47
"Westchester",2018,79,0,0,79,18,0,5,2,0,54
"Westchester",2017,81,0,0,81,24,0,3,1,1,53
"Westchester",2016,82,0,1,83,24,0,5,1,1,52
"Westchester",2015,90,0,1,91,31,0,7,1,0,52
"Westchester",2014,93,1,0,93,31,0,5,2,0,54
"Westchester",2013,108,0,2,110,42,0,7,2,0,58
"Westchester",2012,117,0,2,119,45,0,11,1,1,62
"Westchester",2011,32,0,0,32,10,0,3,0,0,18
"Westchester",2010,2,0,0,2,1,0,0,0,0,1
"Westchester",2019,511,4,6,513,82,0,48,23,7,353
"Westchester",2018,633,3,7,637,95,0,70,32,7,432
"Westchester",2017,623,2,7,628,99,0,69,26,8,426
"Westchester",2016,634,3,9,640,122,0,67,37,6,409
"Westchester",2015,674,1,7,681,144,0,76,44,7,409
"Westchester",2014,737,2,9,744,162,0,86,42,8,445
"Westchester",2013,753,3,10,761,149,0,114,44,9,443
"Westchester",2012,770,3,11,778,155,0,144,38,8,434
"Westchester",2011,870,6,6,870,193,0,154,37,9,477
"Westchester",2010,801,5,4,801,136,0,176,32,8,449
"Westchester",2019,337,0,0,338,73,0,69,9,3,185
"Westchester",2018,316,0,0,316,87,0,35,10,3,183
"Westchester",2017,336,0,2,338,100,0,30,11,2,195
"Westchester",2016,315,0,2,316,104,0,22,11,2,177
"Westchester",2015,336,0,1,337,127,0,12,13,2,183
"Westchester",2014,375,0,0,375,162,0,1,8,1,203
"Westchester",2013,459,0,0,460,199,0,21,17,2,221
"Westchester",2012,567,0,0,567,220,0,46,21,4,275
"Westchester",2011,563,0,0,563,213,0,48,19,5,278
"Westchester",2010,581,0,0,581,211,0,0,26,4,340
"Wyoming",2019,42,1,9,50,14,0,0,2,1,33
"Wyoming",2018,56,0,5,61,17,0,0,6,1,37
"Wyoming",2017,47,0,8,55,15,0,0,5,1,34
"Wyoming",2016,49,0,3,51,18,0,0,5,1,27
"Wyoming",2015,52,0,1,53,19,0,0,3,1,30
"Wyoming",2014,65,0,3,68,27,0,0,2,1,38
"Wyoming",2013,57,0,5,62,22,0,0,3,1,36
"Wyoming",2012,63,2,3,64,22,0,0,3,1,38
"Wyoming",2011,66,4,4,67,27,0,0,3,1,37
"Wyoming",2010,56,0,4,59,19,0,0,2,1,37
"Yates",2019,43,0,2,44,13,0,9,2,1,19
"Yates",2018,42,0,4,45,11,0,9,4,2,20
"Yates",2017,42,0,3,44,7,0,11,4,1,20
"Yates",2016,46,0,0,46,10,0,6,4,2,24
"Yates",2015,52,1,0,51,11,0,6,3,1,29
"Yates",2014,47,1,0,47,11,0,8,2,1,23
"Yates",2013,49,0,0,49,10,0,9,3,1,25
"Yates",2012,49,0,0,49,11,0,9,3,1,24
"Yates",2011,53,0,0,53,15,0,10,2,1,25
"Yates",2010,48,1,0,48,13,0,11,3,1,20
